USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END,station_code
030020,99999,BALTASOUND NO.2,UK,,EGPW,60.75,-0.85,15.0,1973-01-01 00:00:00,2024-07-02 00:00:00,03002099999
030030,99999,SUMBURGH,UK,,EGPB,59.879,-1.296,6.1,1977-01-19 00:00:00,2024-07-02 00:00:00,03003099999
030050,99999,LERWICK,UK,,,60.133,-1.183,84.0,1929-10-01 00:00:00,2024-07-02 00:00:00,03005099999
030080,99999,FAIR ISLE,UK,,,59.533,-1.633,57.0,1973-01-03 00:00:00,2024-07-02 00:00:00,03008099999
030170,99999,KIRKWALL,UK,,EGPA,58.958,-2.905,15.5,1973-01-01 00:00:00,2024-07-02 00:00:00,03017099999
030180,99999,WOODVALE,UK,,EGOW,53.582,-3.056,11.3,2005-06-20 00:00:00,2024-07-02 00:00:00,03018099999
030220,99999,BENBECULA,UK,,EGPL,57.481,-7.363,5.8,1973-01-01 00:00:00,2024-07-02 00:00:00,03022099999
030230,99999,SOUTH UIST RANGE,UK,,,57.333,-7.367,4.0,1992-03-01 00:00:00,2024-07-02 00:00:00,03023099999
030260,99999,STORNOWAY,UK,,EGPO,58.216,-6.331,7.9,1929-10-01 00:00:00,2024-07-02 00:00:00,03026099999
030310,99999,LOCH GLASCARNOCH,UK,,,57.717,-4.883,264.0,1992-10-22 00:00:00,2024-07-02 00:00:00,03031099999
030340,99999,AULTBEA NO2,UK,,,57.867,-5.633,10.0,1986-10-01 00:00:00,2024-07-02 00:00:00,03034099999
030390,99999,BEALACH NA BA NO2,UK,,,57.417,-5.683,773.0,1989-03-01 00:00:00,2024-07-02 00:00:00,03039099999
030410,99999,AONACH MOR,UK,,,56.817,-4.967,1130.0,1992-03-02 00:00:00,2024-07-02 00:00:00,03041099999
030440,99999,ALTNAHARRA NO2,UK,,,58.283,-4.433,80.0,1993-03-02 00:00:00,2024-07-02 00:00:00,03044099999
030470,99999,TULLOCH BRIDGE,UK,,,56.867,-4.7,249.0,1983-08-05 00:00:00,2024-07-02 00:00:00,03047099999
030590,99999,INVERNESS,UK,,EGPE,57.543,-4.048,9.4,1973-01-02 00:00:00,2024-07-02 00:00:00,03059099999
030620,99999,TAIN RANGE (SAWS),UK,,EGQA,57.817,-3.967,4.0,1989-10-19 00:00:00,2024-07-02 00:00:00,03062099999
030630,99999,AVIEMORE,UK,,,57.2,-3.833,228.0,1982-12-01 00:00:00,2024-07-02 00:00:00,03063099999
030650,99999,CAIRNGORM SUMMIT,UK,,,57.117,-3.633,1245.0,1985-01-06 00:00:00,2024-07-02 00:00:00,03065099999
030660,99999,KINLOSS,UK,,EGQK,57.649,-3.561,6.7,1973-01-01 00:00:00,2024-07-02 00:00:00,03066099999
030680,99999,LOSSIEMOUTH,UK,,EGQS,57.705,-3.339,12.8,1973-01-03 00:00:00,2024-07-02 00:00:00,03068099999
030720,99999,CAIRNWELL,UK,,,56.883,-3.417,933.0,1997-12-01 00:00:00,2024-07-02 00:00:00,03072099999
030750,99999,WICK,UK,,EGPC,58.459,-3.093,38.4,1929-10-01 00:00:00,2024-07-02 00:00:00,03075099999
030800,99999,ABOYNE NO2,UK,,,57.083,-2.833,140.0,1989-04-12 00:00:00,2024-07-02 00:00:00,03080099999
030880,99999,INVERBERVIE NO.2,UK,,,56.85,-2.267,134.0,1987-12-02 00:00:00,2024-07-02 00:00:00,03088099999
030910,99999,DYCE,UK,,EGPD,57.202,-2.198,65.5,1926-06-02 00:00:00,2024-07-02 00:00:00,03091099999
031000,99999,TIREE,UK,,EGPU,56.499,-6.869,11.6,1929-10-01 00:00:00,2024-07-02 00:00:00,03100099999
031050,99999,ISLAY: PORT ELLEN,UK,,,55.683,-6.25,17.0,2001-07-29 00:00:00,2024-07-02 00:00:00,03105099999
031110,99999,MACHRIHANISH,UK,,EGQJ,55.433,-5.7,10.0,1973-01-01 00:00:00,2024-07-02 00:00:00,03111099999
031140,99999,OBAN,UK,,EGEO,56.417,-5.467,4.0,1978-09-02 00:00:00,2024-07-02 00:00:00,03114099999
031320,99999,WEST FREUGH (AUT),UK,,EGOY,54.85,-4.95,12.0,1983-08-04 00:00:00,2024-07-02 00:00:00,03132099999
031340,99999,GLASGOW BISHOPTON,UK,,,55.9,-4.533,59.0,2003-03-30 00:00:00,2024-07-02 00:00:00,03134099999
031350,99999,PRESTWICK,UK,,EGPK,55.509,-4.587,19.8,1944-01-01 00:00:00,2024-07-02 00:00:00,03135099999
031360,99999,PRESTWICK RNAS,UK,,,55.517,-4.583,27.0,1993-04-01 00:00:00,2024-07-02 00:00:00,03136099999
031394,99999,CAMPBELTOWN,UK,,EGEC,55.437,-5.686,12.8,1999-01-18 00:00:00,2024-07-02 00:00:00,03139499999
031400,99999,GLASGOW,UK,,EGPF,55.872,-4.433,7.9,1929-10-01 00:00:00,2024-07-02 00:00:00,03140099999
031401,99999,MAGNUS OIL PLATFORM,UK,,EGRE,61.617,1.3,470.0,2012-03-01 00:00:00,2024-07-02 00:00:00,03140199999
031402,99999,BRUCE OIL PLATFORM,UK,,EGRK,59.733,1.667,470.0,2012-03-01 00:00:00,2024-07-02 00:00:00,03140299999
031403,99999,HARDING OIL PLATFORM,UK,,EGRL,59.267,1.5,470.0,2012-03-01 00:00:00,2024-07-02 00:00:00,03140399999
031405,99999,ANDREW OIL PLATFORM,UK,,EGRO,58.033,1.4,470.0,2012-03-01 00:00:00,2024-07-02 00:00:00,03140599999
031406,99999,MUNGO OIL PLATFORM,UK,,EGRP,57.367,1.983,470.0,2012-03-01 00:00:00,2024-07-02 00:00:00,03140699999
031407,99999,MARNOCK OIL PLATFORM,UK,,EGRS,57.283,1.65,470.0,2012-03-01 00:00:00,2024-07-02 00:00:00,03140799999
031408,99999,RAVENSPURN N OIL PLATFORM,UK,,EGRV,54.017,1.1,470.0,2012-03-01 00:00:00,2024-07-02 00:00:00,03140899999
031409,99999,WEST SOLE OIL PLATFORM,UK,,EGRW,53.7,1.133,470.0,2012-03-01 00:00:00,2024-07-02 00:00:00,03140999999
031412,99999,CLAIR OIL PLATFORM,UK,,EGRF,60.683,-2.533,470.0,2013-03-12 00:00:00,2024-07-02 00:00:00,03141299999
031413,99999,CLEETON OIL PLATFORM,UK,,EGRT,54.033,0.717,470.0,2013-03-12 00:00:00,2024-06-26 00:00:00,03141399999
031440,99999,STRATHALLEN AIRFIELD,UK,,,56.317,-3.733,35.0,1989-05-02 00:00:00,2024-07-02 00:00:00,03144099999
031530,99999,DUNDRENNAN,UK,,,54.8,-4.0,113.0,1983-08-04 00:00:00,2024-07-02 00:00:00,03153099999
031550,99999,DRUMALBIN,UK,,,55.617,-3.733,245.0,1991-05-02 00:00:00,2024-07-02 00:00:00,03155099999
031580,99999,CHARTERHALL,UK,,,55.7,-2.383,111.0,1987-10-02 00:00:00,2024-07-02 00:00:00,03158099999
031600,99999,EDINBURGH,UK,,EGPH,55.95,-3.373,41.1,1973-01-01 00:00:00,2024-07-02 00:00:00,03160099999
031620,99999,ESKDALEMUIR,UK,,,55.317,-3.2,242.0,1929-10-01 00:00:00,2024-07-02 00:00:00,03162099999
031634,99999,DUNDEE,UK,,EGPN,56.452,-3.026,5.2,1983-04-04 00:00:00,2024-07-02 00:00:00,03163499999
031650,99999,SPADEADAM,UK,,EGOM,55.05,-2.55,325.0,1992-09-11 00:00:00,2024-07-02 00:00:00,03165099999
031660,99999,EDINBURGH GOGARBANK,UK,,,55.933,-3.35,57.0,2003-03-30 00:00:00,2024-07-02 00:00:00,03166099999
031710,99999,LEUCHARS,UK,,EGQL,56.373,-2.868,11.6,1929-10-01 00:00:00,2024-07-02 00:00:00,03171099999
032040,99999,ISLE OF MAN,UK,,EGNS,54.083,-4.624,16.8,1973-01-01 00:00:00,2024-07-02 00:00:00,03204099999
032100,99999,ST BEES HEAD NO.2,UK,,,54.517,-3.6,123.0,1984-06-14 00:00:00,2024-07-02 00:00:00,03210099999
032120,99999,KESWICK,UK,,,54.617,-3.167,81.0,1984-06-14 00:00:00,2024-07-02 00:00:00,03212099999
032140,99999,WALNEY ISLAND,UK,,EGNL,54.131,-3.264,14.3,1983-08-04 00:00:00,2024-07-02 00:00:00,03214099999
032145,99999,WARTON,UK,,EGNO,53.745,-2.883,16.8,2011-11-30 00:00:00,2024-07-02 00:00:00,03214599999
032200,99999,CARLISLE,UK,,,54.933,-2.967,27.0,1988-06-01 00:00:00,2024-07-02 00:00:00,03220099999
032240,99999,SPADEADAM NO2,UK,,,55.05,-2.55,286.0,1992-12-01 00:00:00,2024-07-02 00:00:00,03224099999
032250,99999,SHAP,UK,,,54.5,-2.683,255.0,1978-11-01 00:00:00,2024-07-02 00:00:00,03225099999
032260,99999,WARCOP RANGE,UK,,,54.567,-2.417,227.0,1983-08-08 00:00:00,2024-07-02 00:00:00,03226099999
032300,99999,REDESDALE CAMP,UK,,,55.283,-2.283,212.0,1983-08-04 00:00:00,2024-07-02 00:00:00,03230099999
032380,99999,ALBEMARLE,UK,,,55.017,-1.867,146.0,2003-03-30 00:00:00,2024-07-02 00:00:00,03238099999
032400,99999,BOULMER,UK,,EGQM,55.424,-1.603,21.3,1975-10-01 00:00:00,2024-07-02 00:00:00,03240099999
032433,99999,NEWCASTLE,UK,,EGNT,55.038,-1.692,81.1,1988-01-05 00:00:00,2024-07-02 00:00:00,03243399999
032570,99999,LEEMING,UK,,EGXE,54.292,-1.535,40.2,1973-01-01 00:00:00,2024-07-02 00:00:00,03257099999
032635,99999,DURHAM TEES VALLEY AIRPORT,UK,,EGNV,54.509,-1.429,36.6,1973-01-01 00:00:00,2024-07-02 00:00:00,03263599999
032643,99999,TOPCLIFFE,UK,,EGXZ,54.206,-1.382,28.0,1994-07-20 00:00:00,2024-07-02 00:00:00,03264399999
032650,99999,TOPCLIFFE,UK,,,54.2,-1.383,28.0,1997-05-01 00:00:00,2024-07-02 00:00:00,03265099999
032750,99999,LOFTUS,UK,,,54.567,-0.867,159.0,1996-11-01 00:00:00,2024-07-02 00:00:00,03275099999
032810,99999,FYLINGDALES,UK,,,54.367,-0.667,262.0,1973-01-01 00:00:00,2024-07-02 00:00:00,03281099999
032920,99999,BRIDLINGTON MRSC,UK,,,54.1,-0.167,19.0,1987-04-30 00:00:00,2024-07-02 00:00:00,03292099999
033010,99999,MONA,UK,,,53.267,-4.367,62.0,1929-10-01 00:00:00,2024-07-02 00:00:00,03301099999
033020,99999,VALLEY,UK,,EGOV,53.248,-4.535,11.3,1926-06-06 00:00:00,2024-07-02 00:00:00,03302099999
033050,99999,CAPEL CURIG NO3,UK,,,53.1,-3.933,215.0,1994-10-01 00:00:00,2024-07-02 00:00:00,03305099999
033130,99999,RHYL NO2,UK,,,53.25,-3.5,76.0,1986-10-01 00:00:00,2024-07-02 00:00:00,03313099999
033160,99999,CROSBY,UK,,,53.5,-3.067,9.0,1984-06-14 00:00:00,2024-07-02 00:00:00,03316099999
033180,99999,BLACKPOOL,UK,,EGNH,53.772,-3.029,10.4,1973-01-01 00:00:00,2024-07-02 00:00:00,03318099999
033210,99999,HAWARDEN,UK,,EGNR,53.178,-2.978,13.7,1985-09-04 00:00:00,2024-07-02 00:00:00,03321099999
033233,99999,LIVERPOOL,UK,,EGGP,53.334,-2.85,24.4,1990-04-24 00:00:00,2024-07-02 00:00:00,03323399999
033300,99999,LEEK THORNCLIFFE,UK,,,53.133,-1.983,299.0,2004-07-06 00:00:00,2024-07-02 00:00:00,03330099999
033340,99999,MANCHESTER,UK,,EGCC,53.354,-2.275,78.3,1933-09-30 00:00:00,2024-07-02 00:00:00,03334099999
033440,99999,BINGLEY NO.2,UK,,,53.817,-1.867,267.0,1973-01-01 00:00:00,2024-07-02 00:00:00,03344099999
033460,99999,EMLEY MOOR NO 2,UK,,,53.6,-1.667,267.0,1976-12-21 00:00:00,2024-07-02 00:00:00,03346099999
033463,99999,LEEDS BRADFORD,UK,,EGNM,53.866,-1.661,207.6,1988-01-05 00:00:00,2024-07-02 00:00:00,03346399999
033465,99999,NEWQUAY CORNWALL,UK,,,50.433,-4.983,119.0,2009-02-01 00:00:00,2024-07-02 00:00:00,03346599999
033510,99999,ROSTHERNE NO 2,UK,,,53.367,-2.383,35.0,2012-11-30 00:00:00,2024-07-02 00:00:00,03351099999
033540,99999,NOTTINGHAM/WATNALL,UK,,,53.0,-1.25,117.0,1973-01-01 00:00:00,2024-07-02 00:00:00,03354099999
033723,99999,BARKSTON HEATH,UK,,EGYE,52.962,-0.562,111.9,1995-11-29 00:00:00,2024-07-02 00:00:00,03372399999
033735,99999,HUMBERSIDE,UK,,EGNJ,53.574,-0.351,36.9,1975-01-09 00:00:00,2024-07-02 00:00:00,03373599999
033770,99999,WADDINGTON,UK,,EGXW,53.166,-0.524,70.4,1950-09-26 00:00:00,2024-07-02 00:00:00,03377099999
033790,99999,CRANWELL,UK,,EGYD,53.03,-0.483,66.4,1929-08-01 00:00:00,2024-07-02 00:00:00,03379099999
033820,99999,LECONFIELD,UK,,,53.867,-0.433,7.0,2003-03-30 00:00:00,2024-07-02 00:00:00,03382099999
033840,99999,LECONFIELD (AUT),UK,,EGXV,53.867,-0.433,6.0,1981-01-12 00:00:00,2024-07-02 00:00:00,03384099999
033850,99999,DONNA NOOK,UK,,EGXX,53.467,0.067,8.0,1992-12-08 00:00:00,2024-07-02 00:00:00,03385099999
033851,99999,DONNA NOOK RAF,UK,,EGXS,53.475,0.152,3.0,2011-05-12 00:00:00,2024-07-02 00:00:00,03385199999
033910,99999,CONINGSBY,UK,,EGXC,53.093,-0.166,7.6,1943-08-01 00:00:00,2024-07-02 00:00:00,03391099999
033920,99999,WAINFLEET (AUT),UK,,EGYW,53.083,0.267,5.0,1984-06-14 00:00:00,2024-07-02 00:00:00,03392099999
034050,99999,ABERDARON,UK,,,52.783,-4.733,94.0,1994-10-01 00:00:00,2024-07-02 00:00:00,03405099999
034090,99999,BALA,UK,,,52.9,-3.583,163.0,2011-06-27 00:00:00,2024-07-02 00:00:00,03409099999
034100,99999,LAKE VYRNWY NO2,UK,,,52.75,-3.467,359.0,1994-10-01 00:00:00,2024-07-02 00:00:00,03410099999
034140,99999,SHAWBURY,UK,,EGOS,52.798,-2.668,75.9,1973-01-01 00:00:00,2024-07-02 00:00:00,03414099999
034145,99999,COSFORD,UK,,EGWC,52.64,-2.306,82.9,1994-08-31 00:00:00,2024-07-02 00:00:00,03414599999
034185,99999,NOTTINGHAM EAST MIDLANDS,UK,,EGNX,52.831,-1.328,93.3,1973-01-01 00:00:00,2024-07-02 00:00:00,03418599999
034620,99999,WITTERING,UK,,EGXT,52.613,-0.476,83.2,1973-03-01 00:00:00,2024-07-02 00:00:00,03462099999
034690,99999,HOLBEACH (AUT),UK,,EGYH,52.867,0.15,3.0,1985-12-01 00:00:00,2024-07-02 00:00:00,03469099999
034820,99999,MARHAM,UK,,EGYM,52.648,0.551,22.9,1949-04-01 00:00:00,2024-07-02 00:00:00,03482099999
034880,99999,WEYBOURNE,UK,,,52.95,1.133,20.0,1986-01-19 00:00:00,2024-07-02 00:00:00,03488099999
034920,99999,NORWICH,UK,,EGSH,52.676,1.283,35.7,1987-12-02 00:00:00,2024-07-02 00:00:00,03492099999
034940,99999,CROMER,UK,,,52.933,1.317,44.0,1973-03-09 00:00:00,2024-06-11 00:00:00,03494099999
035020,99999,ABERPORTH,UK,,EGUC,52.133,-4.567,134.0,1973-01-01 00:00:00,2024-07-02 00:00:00,03502099999
035030,99999,TRAWSGOED,UK,,,52.35,-3.95,62.0,1983-08-20 00:00:00,2024-07-02 00:00:00,03503099999
035070,99999,SENNYBRIDGE NO2,UK,,,52.067,-3.617,307.0,1984-06-14 00:00:00,2024-07-02 00:00:00,03507099999
035200,99999,SHOBDON AIRFIELD,UK,,,52.25,-2.883,99.0,1992-08-01 00:00:00,2024-07-02 00:00:00,03520099999
035220,99999,HEREFORD/CREDENHILL,UK,,,52.083,-2.8,76.0,1929-10-01 00:00:00,2024-07-02 00:00:00,03522099999
035290,99999,PERSHORE,UK,,,52.15,-2.033,31.0,1978-03-01 00:00:00,2024-07-02 00:00:00,03529099999
035340,99999,BIRMINGHAM,UK,,EGBB,52.454,-1.748,99.7,1973-01-01 00:00:00,2024-07-02 00:00:00,03534099999
035350,99999,COLESHILL,UK,,,52.483,-1.683,96.0,2001-07-06 00:00:00,2024-07-02 00:00:00,03535099999
035440,99999,CHURCH LAWFORD,UK,,,52.367,-1.333,106.0,1983-08-24 00:00:00,2024-07-02 00:00:00,03544099999
035573,99999,CRANFIELD,UK,,EGTC,52.072,-0.617,109.1,1990-02-08 00:00:00,2024-07-02 00:00:00,03557399999
035600,99999,BEDFORD,UK,,,52.217,-0.483,84.0,1987-04-09 00:00:00,2024-07-02 00:00:00,03560099999
035661,99999,ISLAY,UK,,EGPI,55.682,-6.257,17.1,2004-05-10 00:00:00,2024-07-02 00:00:00,03566199999
035715,99999,CAMBRIDGE,UK,,EGSC,52.205,0.175,14.3,1977-02-01 00:00:00,2024-07-02 00:00:00,03571599999
035770,35046,MILDENHALL RAF,UK,,EGUN,52.367,0.483,10.0,1999-01-01 00:00:00,2024-07-02 00:00:00,03577035046
035830,35034,LAKENHEATH RAF,UK,,EGUL,52.417,0.567,10.0,1999-01-02 00:00:00,2024-07-02 00:00:00,03583035034
035900,99999,WATTISHAM,UK,,EGUW,52.127,0.956,86.6,1973-01-01 00:00:00,2024-07-02 00:00:00,03590099999
036040,99999,MILFORD HAVEN CONSERVANCY BOARD,UK,,,51.7,-5.05,32.0,1973-01-01 00:00:00,2024-07-02 00:00:00,03604099999
036050,99999,PEMBRY SANDS,UK,,EGOP,51.717,-4.367,3.0,1993-03-01 00:00:00,2024-07-02 00:00:00,03605099999
036090,99999,MUMBLES HEAD,UK,,,51.567,-3.983,32.0,1973-01-04 00:00:00,2024-06-04 00:00:00,03609099999
036130,99999,CWMBARGOED,UK,,,51.75,-3.333,372.0,1973-01-01 00:00:00,2024-06-15 00:00:00,03613099999
036333,99999,GLOUCESTERSHIRE,UK,,EGBJ,51.894,-2.167,30.8,1977-10-01 00:00:00,2024-07-02 00:00:00,03633399999
036440,99999,FAIRFORD,UK,,EGVA,51.682,-1.79,87.2,1952-06-10 00:00:00,2024-07-02 00:00:00,03644099999
036470,99999,LITTLE RISSINGTON,UK,,,51.867,-1.683,210.0,1984-06-14 00:00:00,2024-07-02 00:00:00,03647099999
036490,99999,BRIZE NORTON,UK,,EGVN,51.75,-1.584,87.8,1951-08-01 00:00:00,2024-07-02 00:00:00,03649099999
036580,99999,BENSON,UK,,EGUB,51.616,-1.096,68.9,1973-01-01 00:00:00,2024-07-02 00:00:00,03658099999
036720,99999,NORTHOLT,UK,,EGWU,51.553,-0.418,37.8,1973-01-01 00:00:00,2024-07-02 00:00:00,03672099999
036733,99999,LUTON,UK,,EGGW,51.875,-0.368,160.3,1988-01-05 00:00:00,2024-07-02 00:00:00,03673399999
036800,99999,ROTHAMSTED,UK,,,51.8,-0.358,128.0,2013-08-20 00:00:00,2024-07-02 00:00:00,03680099999
036830,99999,STANSTED,UK,,EGSS,51.885,0.235,106.1,1973-01-01 00:00:00,2024-07-02 00:00:00,03683099999
036840,99999,ANDREWSFIELD,UK,,,51.883,0.45,87.0,1998-03-01 00:00:00,2024-07-02 00:00:00,03684099999
036913,99999,SOUTHEND,UK,,EGMC,51.571,0.696,14.9,1988-01-05 00:00:00,2024-07-02 00:00:00,03691399999
036930,99999,SHOEBURYNESS  LANDWICK,UK,,,51.55,0.833,3.0,1929-10-01 00:00:00,2024-07-02 00:00:00,03693099999
037070,99999,CHIVENOR,UK,,EGDC,51.087,-4.15,8.2,1973-01-01 00:00:00,2024-07-02 00:00:00,03707099999
037100,99999,LISCOMBE,UK,,,51.083,-3.6,347.0,1993-01-13 00:00:00,2024-07-02 00:00:00,03710099999
037150,99999,CARDIFF,UK,,EGFF,51.397,-3.343,67.1,1973-01-01 00:00:00,2024-07-02 00:00:00,03715099999
037160,99999,ST ATHAN,UK,,EGDX,51.405,-3.436,49.7,2001-07-06 00:00:00,2024-07-02 00:00:00,03716099999
037243,99999,BRISTOL,UK,,EGGD,51.383,-2.719,189.6,1988-01-05 00:00:00,2024-07-02 00:00:00,03724399999
037400,99999,LYNEHAM,UK,,EGDL,51.505,-1.993,156.4,1973-01-01 00:00:00,2024-07-02 00:00:00,03740099999
037430,99999,LARKHILL,UK,,,51.2,-1.8,133.0,1989-06-01 00:00:00,2024-07-02 00:00:00,03743099999
037460,99999,BOSCOMBE DOWN,UK,,EGDM,51.152,-1.747,124.1,1931-01-01 00:00:00,2024-07-02 00:00:00,03746099999
037490,99999,MIDDLE WALLOP,UK,,EGVP,51.15,-1.567,91.0,1973-08-09 00:00:00,2024-07-02 00:00:00,03749099999
037610,99999,ODIHAM,UK,,EGVO,51.234,-0.943,123.4,1973-01-01 00:00:00,2024-07-02 00:00:00,03761099999
037663,99999,BIGGIN HILL,UK,,EGKB,51.331,0.033,182.3,1988-01-05 00:00:00,2024-07-02 00:00:00,03766399999
037680,99999,FARNBOROUGH,UK,,EGLF,51.276,-0.776,72.5,1988-05-01 00:00:00,2024-07-02 00:00:00,03768099999
037683,99999,CITY,UK,,EGLC,51.505,0.055,5.8,1988-01-29 00:00:00,2024-07-02 00:00:00,03768399999
037690,99999,CHARLWOOD,UK,,,51.144,-0.229,68.0,1992-03-01 00:00:00,2024-07-02 00:00:00,03769099999
037700,99999,ST JAMES PARK,UK,,,51.5,-0.117,5.0,2009-12-18 00:00:00,2024-07-02 00:00:00,03770099999
037720,99999,HEATHROW,UK,,EGLL,51.478,-0.461,25.3,1948-12-01 00:00:00,2024-07-02 00:00:00,03772099999
037760,99999,GATWICK,UK,,EGKK,51.148,-0.19,61.6,1973-01-01 00:00:00,2024-07-02 00:00:00,03776099999
037810,99999,KENLEY AIRFIELD,UK,,,51.3,-0.083,170.0,1988-02-01 00:00:00,2024-07-02 00:00:00,03781099999
037960,99999,LANGDON BAY,UK,,,51.133,1.35,117.0,1973-03-08 00:00:00,2024-07-02 00:00:00,03796099999
037970,35047,MANSTON,UK,,EGMH,51.35,1.333,50.0,1930-02-28 00:00:00,2024-07-02 00:00:00,03797035047
038000,99999,SCILLY/ST. MARY'S,UK,,,49.917,-6.283,45.0,1989-01-24 00:00:00,2024-07-02 00:00:00,03800099999
038030,99999,SCILLY/SAINT MARY'S,UK,,EGHE,49.917,-6.3,31.0,1986-01-01 00:00:00,2024-07-02 00:00:00,03803099999
038060,99999,LANDS END ARPT,UK,,EGHC,50.064,-5.709,63.0,1973-03-08 00:00:00,2024-07-02 00:00:00,03806099999
038080,99999,CAMBORNE,UK,,,50.217,-5.317,88.0,1973-01-01 00:00:00,2024-07-02 00:00:00,03808099999
038090,99999,CULDROSE,UK,,EGDR,50.086,-5.256,81.4,1973-01-01 00:00:00,2024-07-02 00:00:00,03809099999
038230,99999,CARDINHAM  BODMIN,UK,,,50.5,-4.667,199.0,1987-07-08 00:00:00,2024-07-02 00:00:00,03823099999
038270,99999,PLYMOUTH/MOUNTBATTE,UK,,EGDB,50.35,-4.117,27.0,1973-01-01 00:00:00,2024-07-02 00:00:00,03827099999
038390,99999,EXETER,UK,,EGTE,50.734,-3.414,31.1,1973-01-01 00:00:00,2024-07-02 00:00:00,03839099999
038400,99999,DUNKESWELL AERODROME,UK,,,50.867,-3.233,253.0,1991-05-31 00:00:00,2024-07-02 00:00:00,03840099999
038530,99999,YEOVILTON,UK,,EGDY,51.009,-2.639,22.9,1973-01-01 00:00:00,2024-07-02 00:00:00,03853099999
038570,99999,ISLE OF PORTLAND,UK,,,50.517,-2.45,52.0,1973-08-09 00:00:00,2024-07-02 00:00:00,03857099999
038620,99999,BOURNEMOUTH,UK,,EGHH,50.78,-1.843,11.6,1973-01-01 00:00:00,2024-07-02 00:00:00,03862099999
038650,99999,SOUTHAMPTON,UK,,EGHI,50.95,-1.357,13.4,1973-01-01 00:00:00,2024-07-02 00:00:00,03865099999
038660,99999,WIGHT: ST. CATHERINES POINT,UK,,,50.583,-1.3,24.0,1973-01-01 00:00:00,2024-07-02 00:00:00,03866099999
038720,99999,THORNEY ISLAND,UK,,,50.817,-0.917,3.0,1984-07-03 00:00:00,2024-07-02 00:00:00,03872099999
038760,99999,SHOREHAM,UK,,EGKA,50.836,-0.297,2.1,1986-12-01 00:00:00,2024-07-02 00:00:00,03876099999
038820,99999,HERSTMONCEUX  WEST END,UK,,,50.9,0.317,52.0,1992-12-01 00:00:00,2024-07-02 00:00:00,03882099999
038873,99999,LYDD,UK,,EGMD,50.956,0.939,4.0,1988-01-05 00:00:00,2024-07-02 00:00:00,03887399999
038915,99999,ALDERNEY,UK,,EGJA,49.706,-2.215,88.4,1987-06-29 00:00:00,2024-07-02 00:00:00,03891599999
038940,99999,GUERNSEY,UK,,EGJB,49.435,-2.602,102.4,1929-10-01 00:00:00,2024-07-02 00:00:00,03894099999
038950,99999,JERSEY,UK,,EGJJ,49.208,-2.196,84.4,1973-01-01 00:00:00,2024-07-02 00:00:00,03895099999
038960,99999,ST. HELIER,UK,,,49.2,-2.1,54.0,1984-08-01 00:00:00,2024-07-02 00:00:00,03896099999
039010,99999,THOMASTOWN,UK,,,54.333,-7.6,72.0,2012-07-20 00:00:00,2024-07-02 00:00:00,03901099999
039040,99999,CASTLEDERG,UK,,,54.7,-7.583,50.0,1997-12-01 00:00:00,2024-07-02 00:00:00,03904099999
039070,99999,MAGILLIGAN NO 2,UK,,,55.15,-6.933,6.0,2011-09-01 00:00:00,2024-07-02 00:00:00,03907099999
039084,99999,LONDONDERRY EGLINTON,UK,,EGAE,55.043,-7.161,6.7,1990-04-24 00:00:00,2024-07-02 00:00:00,03908499999
039110,99999,LOUGH FEA,UK,,,54.717,-6.817,227.0,1994-10-03 00:00:00,2024-07-02 00:00:00,03911099999
039150,99999,PORTGLENONE,UK,,,54.867,-6.45,65.0,1973-03-08 00:00:00,2024-07-02 00:00:00,03915099999
039160,99999,BALLYPATRICK FOREST,UK,,,55.183,-6.167,156.0,1987-03-01 00:00:00,2024-07-02 00:00:00,03916099999
039170,99999,ALDERGROVE,UK,,EGAA,54.658,-6.216,81.7,1930-02-28 00:00:00,2024-07-02 00:00:00,03917099999
039230,99999,GLENANNE NO2,UK,,,54.233,-6.5,160.0,1985-02-07 00:00:00,2024-07-02 00:00:00,03923099999
039240,99999,CITY,UK,,EGAC,54.618,-5.873,4.6,1973-01-01 00:00:00,2024-07-02 00:00:00,03924099999
039270,99999,HELENS BAY,UK,,,54.669,-5.748,43.0,1992-03-01 00:00:00,2024-06-12 00:00:00,03927099999
749005,99999,TIBENHAM AIRFIELD,UK,,,52.457,1.162,52.0,1944-07-01 00:00:00,2024-07-02 00:00:00,74900599999
